2021-02-24 13:00:18.840 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.demo.paywei.PayweiApplicationTests], using SpringBootContextLoader
2021-02-24 13:00:18.846 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.demo.paywei.PayweiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-02-24 13:00:18.847 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.demo.paywei.PayweiApplicationTests]: PayweiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-02-24 13:00:18.979 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.demo.paywei.PayweiApplication for test class com.demo.paywei.PayweiApplicationTests
2021-02-24 13:00:19.168 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-02-24 13:00:19.189 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@376a0d86, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@62656be4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@17d919b6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@53f3bdbd, org.springframework.test.context.support.DirtiesContextTestExecutionListener@34129c78, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7d61eb55, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@222a59e6, org.springframework.test.context.event.EventPublishingTestExecutionListener@6c7a164b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4c2bb6e0, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3e62d773, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4ef74c30, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7283d3eb, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@638ef7ed]
2021-02-24 13:00:19.596 [main] INFO  com.demo.paywei.PayweiApplicationTests - Starting PayweiApplicationTests on DESKTOP-4IL9A7A with PID 14944 (started by Yang in F:\paywei)
2021-02-24 13:00:19.597 [main] INFO  com.demo.paywei.PayweiApplicationTests - No active profile set, falling back to default profiles: default
2021-02-24 13:00:20.710 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-02-24 13:00:20.714 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-02-24 13:00:20.780 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 Redis repository interfaces.
2021-02-24 13:00:21.286 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-24 13:00:22.936 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-02-24 13:00:23.049 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2021-02-24 13:00:23.837 [main] INFO  com.demo.paywei.PayweiApplicationTests - Started PayweiApplicationTests in 4.586 seconds (JVM running for 6.525)
2021-02-24 13:00:24.264 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-02-24 13:27:43.517 [main] INFO  com.demo.paywei.PayweiApplication - Starting PayweiApplication on DESKTOP-4IL9A7A with PID 19580 (F:\paywei\target\classes started by Yang in F:\paywei)
2021-02-24 13:27:43.521 [main] INFO  com.demo.paywei.PayweiApplication - No active profile set, falling back to default profiles: default
2021-02-24 13:27:44.391 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-02-24 13:27:44.394 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-02-24 13:27:44.438 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 Redis repository interfaces.
2021-02-24 13:27:44.710 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-24 13:27:45.033 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-02-24 13:27:45.046 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-02-24 13:27:45.047 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-02-24 13:27:45.047 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2021-02-24 13:27:45.190 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-02-24 13:27:45.190 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1572 ms
2021-02-24 13:27:45.848 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-02-24 13:27:45.926 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2021-02-24 13:27:46.372 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-02-24 13:27:46.398 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-02-24 13:27:46.400 [main] INFO  com.demo.paywei.PayweiApplication - Started PayweiApplication in 3.375 seconds (JVM running for 5.397)
2021-02-24 13:29:02.398 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-02-24 13:29:02.398 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-02-24 13:29:02.403 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2021-02-24 13:35:11.100 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.demo.paywei.PayweiApplicationTests], using SpringBootContextLoader
2021-02-24 13:35:11.108 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.demo.paywei.PayweiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-02-24 13:35:11.108 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.demo.paywei.PayweiApplicationTests]: PayweiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-02-24 13:35:11.222 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.demo.paywei.PayweiApplication for test class com.demo.paywei.PayweiApplicationTests
2021-02-24 13:35:11.367 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-02-24 13:35:11.383 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@17d919b6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@53f3bdbd, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@34129c78, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7d61eb55, org.springframework.test.context.support.DirtiesContextTestExecutionListener@222a59e6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6c7a164b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4c2bb6e0, org.springframework.test.context.event.EventPublishingTestExecutionListener@3e62d773, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4ef74c30, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7283d3eb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@638ef7ed, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4bff7da0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3f1d2e23]
2021-02-24 13:35:11.622 [main] INFO  com.demo.paywei.PayweiApplicationTests - Starting PayweiApplicationTests on DESKTOP-4IL9A7A with PID 20644 (started by Yang in F:\paywei)
2021-02-24 13:35:11.622 [main] INFO  com.demo.paywei.PayweiApplicationTests - No active profile set, falling back to default profiles: default
2021-02-24 13:35:12.445 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-02-24 13:35:12.449 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-02-24 13:35:12.477 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10ms. Found 0 Redis repository interfaces.
2021-02-24 13:35:12.906 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-24 13:35:14.248 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-02-24 13:35:14.346 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2021-02-24 13:35:15.179 [main] INFO  com.demo.paywei.PayweiApplicationTests - Started PayweiApplicationTests in 3.762 seconds (JVM running for 5.017)
2021-02-24 13:35:15.565 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
